name,when_to_use,how_to_use,side_effects,age_limit
paracetamol,"Used to reduce fever and relieve mild to moderate pain such as headache, body pain, toothache, cold-related discomfort, and post-vaccination fever. It is commonly used for short-term symptom relief when pain or fever is present.","Adults can take 500–650 mg every 6 hours if required. It should be taken with a full glass of water, preferably after food to reduce stomach irritation. Do not exceed 4000 mg per day. Always follow doctor guidance for children dosage.","Generally safe when taken correctly. Overdose may cause serious liver damage. Some people may experience nausea, allergic skin rash, or mild stomach discomfort.",Can be used in children above 6 years with proper dose adjustment. Safe for adults and elderly under medical supervision.
ibuprofen,"Used to relieve pain and inflammation caused by muscle strain, joint pain, menstrual cramps, arthritis, dental pain, and minor injuries such as sprains. Also helps in reducing mild fever.",Recommended dose is 200–400 mg every 6–8 hours after meals. Should be taken with water and not on an empty stomach. Long-term use should only be under medical advice.,"May cause stomach irritation, heartburn, nausea, dizziness, and in rare cases stomach ulcers or kidney problems if used excessively.",Suitable for individuals above 12 years. Elderly patients or those with kidney/heart issues should consult a doctor before use.
cetirizine,"Used for treating allergy symptoms including sneezing, runny nose, watery eyes, itching, and skin rashes caused by dust, pollen, or seasonal allergies.","Take 10 mg once daily, usually in the evening. It can be taken with or without food. Avoid driving if drowsiness occurs.","Common side effects include drowsiness, dry mouth, mild headache, or fatigue. Usually mild and temporary.",Recommended for children above 6 years and adults. Lower doses are used for younger children.
vitaminD3,"Prescribed for Vitamin D deficiency, weak bones, low immunity, osteoporosis prevention, and to improve calcium absorption in the body.","Typically 1000–2000 IU daily after meals. In severe deficiency, higher weekly or monthly doses may be prescribed by a doctor.","Excessive intake may cause nausea, vomiting, weakness, or high calcium levels in blood. Overuse should be avoided.",Can be used in all age groups with appropriate dosage as per doctor recommendation.
iron,"Used to treat iron deficiency anemia, low hemoglobin levels, weakness, fatigue, and during pregnancy when iron requirement increases.",Usually taken once daily on an empty stomach for better absorption. Can be taken with vitamin C (like orange juice). Avoid milk or tea immediately after taking.,"May cause constipation, stomach upset, nausea, and dark-colored stools. These are common and usually manageable.",Suitable for children above 5 years and adults under medical supervision.
calcium carbonate,"Used to strengthen bones and teeth, prevent osteoporosis, treat calcium deficiency, especially in elderly individuals and post-menopausal women.",Take 500–1000 mg daily after meals with water. Often combined with Vitamin D for better absorption and effectiveness.,"May cause constipation, bloating, or mild abdominal discomfort. Excess use may increase risk of kidney stones.",Mainly recommended for adults and elderly. Pediatric dosage requires medical advice.
aspirin,Used to prevent heart attack and stroke in patients who are at high cardiovascular risk. It works by reducing blood clot formation.,Take one 75 mg tablet daily after food with water. Do not crush or chew unless advised. Should be taken regularly only under doctor supervision.,"Can cause stomach irritation, gastric bleeding, bruising, or increased bleeding tendency. Not safe for people with bleeding disorders.",Not recommended for children. Generally prescribed for adults above 18 years only.
pantoprazole,"Used to treat acidity, acid reflux (GERD), stomach ulcers, and heartburn by reducing stomach acid production.",Take one tablet 30 minutes before breakfast. Swallow whole without crushing. Usually prescribed for short-term use unless otherwise advised.,"May cause headache, diarrhea, abdominal pain. Long-term use may reduce Vitamin B12 levels.",Recommended for individuals above 12 years.
multivitamin tablet,"Used to support overall health, improve immunity, prevent nutritional deficiencies, and provide essential vitamins and minerals lacking in daily diet.",Take one tablet daily after breakfast with water. Do not exceed recommended dose unless advised by a doctor.,"Generally safe. Rarely may cause mild nausea, stomach upset, or allergic reaction.",Suitable for individuals above 12 years. Separate pediatric formulations available for children.
metformin,Prescribed for management of Type 2 Diabetes to control blood sugar levels and improve insulin sensitivity in the body.,Usually 500 mg once or twice daily with meals to reduce stomach upset. Dose may gradually increase depending on blood sugar levels.,"Common side effects include diarrhea, nausea, bloating, and metallic taste. Rarely may cause lactic acidosis in high-risk patients.",Generally prescribed for adults above 18 years under medical supervision.
amoxicillin,"Used to treat bacterial infections such as throat infections, ear infections, urinary tract infections, and respiratory infections. It works by stopping the growth of bacteria.","Usually taken 250–500 mg every 8 hours as prescribed by a doctor. Should be taken with or without food, but at the same time each day. Complete the full course even if symptoms improve.","Nausea, diarrhea, skin rash, allergic reactions. Severe allergy (rare) may cause breathing difficulty.",Suitable for children and adults with doctor prescription. Dose varies by age and weight.
azithromycin,"Prescribed for bacterial infections including chest infections, sinusitis, skin infections, and some sexually transmitted infections.",Typically taken once daily for 3–5 days as directed. Can be taken with or without food. Avoid antacids within 2 hours of taking the tablet.,"Stomach upset, diarrhea, nausea, abdominal pain. Rarely heart rhythm changes.",Used in children and adults with prescription. Dosage adjusted based on age and weight.
levocetirizine,"Used to relieve allergy symptoms such as sneezing, runny nose, watery eyes, and itching caused by seasonal allergies or dust exposure.",Usually 5 mg once daily in the evening. Can be taken with or without food. Avoid alcohol while using.,"Drowsiness, dry mouth, fatigue, mild headache.",Recommended for individuals above 6 years. Lower doses for younger children as prescribed.
ranitidine,"Used to reduce stomach acid in cases of acidity, heartburn, and gastric ulcers.",Usually taken once or twice daily as directed by a doctor. Can be taken before meals or at bedtime.,"Headache, constipation, diarrhea, rarely confusion in elderly.",Suitable for adults and children above 12 years under supervision.
dicycloverine,"Used to relieve stomach cramps, abdominal pain, and irritable bowel syndrome (IBS).",Typically taken 10–20 mg up to four times daily before meals. Follow doctor’s dosage instructions carefully.,"Dry mouth, dizziness, blurred vision, nausea.",Generally prescribed for adults above 18 years.
loperamide,Used to control diarrhea by slowing down bowel movement and reducing stool frequency.,"Initial dose usually 4 mg, followed by 2 mg after each loose stool. Do not exceed recommended daily limit.","Constipation, stomach cramps, dizziness. Overuse may cause serious heart problems.",Recommended for individuals above 6 years. Avoid in children under 6.
ondansetron,"Used to prevent nausea and vomiting caused by food poisoning, stomach infection, or certain treatments.",Usually taken 4–8 mg as prescribed. Can be taken with or without food.,"Headache, constipation, dizziness. Rarely may affect heart rhythm.",Suitable for children and adults with prescription. Dose adjusted by age.
